Srno,uri,yield,calories,totalCO2Emissions,co2EmissionsClass,totalWeight,dietLabels,healthLabels,cautions,cuisineType,mealType,dishType
56,http://www.edamam.com/ontologies/edamam.owl#recipe_a610efa852474d9b978c774b4cad99c4,2,275,NaN,NaN,465.1017985,,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER","SULFITES,FODMAP",american,lunch/dinner,
61,http://www.edamam.com/ontologies/edamam.owl#recipe_dc7f032d64e443eaa5b4fe6e84572c68,8,1390,13428.29274,F,1759.80924,,"SUGAR_CONSCIOUS,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,PORK_FREE,RED_MEAT_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED","TREE_NUTS,SULFITES",mediterranean,lunch/dinner,starter
67,http://www.edamam.com/ontologies/edamam.owl#recipe_c194b45258b743f9b98de6024927b887,4,581,478.5444441,B,676.5567389,,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,KOSHER",,french,lunch/dinner,starter
68,http://www.edamam.com/ontologies/edamam.owl#recipe_48ff8bf9069c4a00829e3ba0b9cb64ca,4,874,NaN,NaN,660.4094251,HIGH_FIBER,"SUGAR_CONSCIOUS,VEGAN,VEGETARIAN,PESCATARIAN,SPECIFIC_CARBS,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,middle eastern,lunch/dinner,starter
70,http://www.edamam.com/ontologies/edamam.owl#recipe_8b67ed972b1943c184d453f0d9c46ff6,4,681,1221.418796,D,531.0311165,,"SUGAR_CONSCIOUS,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,MILK_FREE,PEANUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",TREE_NUTS,american,lunch/dinner,starter
71,http://www.edamam.com/ontologies/edamam.owl#recipe_d24efc1052db4ded98eef10c4d320a5b,4,846,725.522412,C,791.3443783,HIGH_FIBER,"VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",TREE_NUTS,american,lunch/dinner,condiments and sauces
72,http://www.edamam.com/ontologies/edamam.owl#recipe_9d07253682fe45f4bc65fb87b86b683a,6,1473,NaN,NaN,715.531856,"HIGH_FIBER,LOW_FAT","VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",FODMAP,indian,lunch/dinner,bread
77,http://www.edamam.com/ontologies/edamam.owl#recipe_75cd6d578fec4335ac473a8110f6e449,6,1070,1822.337441,D,624.1389005,LOW_CARB,"KIDNEY_FRIENDLY,VEGAN,VEGETARIAN,PESCATARIAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,KOSHER","SULFITES,FODMAP",italian,lunch/dinner,condiments and sauces
78,http://www.edamam.com/ontologies/edamam.owl#recipe_cd3cb8bd85814036be98863e2fc52563,4,580,327.5639952,B,403.2165203,"BALANCED,HIGH_FIBER","VEGAN,VEGETARIAN,PESCATARIAN,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,KOSHER",TREE_NUTS,american,lunch/dinner,starter
80,http://www.edamam.com/ontologies/edamam.owl#recipe_0a1039e88a1d4ea49c517d6edbc002a3,2,14,11.669215,A+,489.8635692,BALANCED,"FAT_FREE,LOW_FAT_ABS,SUGAR_CONSCIOUS,LOW_POTASSIUM,KETO_FRIENDLY,VEGAN,VEGETARIAN,PESCATARIAN,PALEO,SPECIFIC_CARBS,MEDITERRANEAN,DAIRY_FREE,GLUTEN_FREE,WHEAT_FREE,EGG_FREE,MILK_FREE,PEANUT_FREE,TREE_NUT_FREE,SOY_FREE,FISH_FREE,SHELLFISH_FREE,PORK_FREE,RED_MEAT_FREE,CRUSTACEAN_FREE,CELERY_FREE,MUSTARD_FREE,SESAME_FREE,LUPINE_FREE,MOLLUSK_FREE,ALCOHOL_FREE,NO_OIL_ADDED,NO_SUGAR_ADDED,SULPHITE_FREE,FODMAP_FREE,KOSHER",,american,lunch/dinner,salad
