Srno,ENERC_KCAL,ENERC_KCAL%,FAT,FAT%,FASAT,FASAT%,PROCNT,PROCNT%,CHOLE,CHOLE%,CHOCDF,CHOCDF%,FIBTG,FIBTG%,FATRN,FAMS,FAPU,SUGAR,CHOCDF.net,NA,NA%,CA,CA%,FE,FE%,ZN,ZN%,VITC,VITC%,THIA,THIA%,NIA,NIA%,VITB6A,VITB6A%,MG,MG%,K,K%,P,P%,VITA_RAE,VITA_RAE%,RIBF,RIBF%,FOLDFE,FOLDFE%,VITB12,VITB12%,VITD,VITD%,TOCPHA,TOCPHA%,VITK1,VITK1%,WATER,FOLFD,FOLAC
1158,832.1135,41.605675,13.07155917,20.11009103,3.781235833,18.90617917,50.74572833,101.4914567,10.93333333,3.644444445,137.4502,45.81673333,24.9164,99.6656,0.00084,4.844154167,3.33046375,8.72735,112.5338,1166.256151,48.59400628,176.9853238,17.69853238,17.34268851,96.34826949,7.063468931,64.21335392,229.1058,254.562,1.800935708,150.0779757,6.264978125,39.15611328,1.316452708,101.2655929,148.6835891,35.40085454,1768.98696,37.63802043,629.665125,89.95216071,116.317375,12.92415278,0.514439542,39.57227244,946.868,236.717,0.000427083,0.017795139,0,0,3.806063333,25.37375556,32.05269167,26.71057639,293.1241917,946.868,0.5634
1159,475.48225,23.7741125,7.150429375,11.00066058,0.851135625,4.255678125,24.28862438,48.57724875,0,0,79.95824375,26.65274792,16.2849125,65.13965,0.00084,1.655689375,3.081049375,20.79268188,63.67333125,810.0954923,33.75397884,126.2721864,12.62721864,6.703888344,37.24382413,3.314484839,30.13168036,18.998525,21.10947222,0.578071563,48.17263021,2.32123875,14.50774219,0.818544375,62.96495192,190.4218359,45.33853235,1256.114562,26.72584175,389.6860625,55.6694375,254.00415,28.22268333,0.200833438,15.44872596,450.960125,112.7400313,0,0,0,0,1.9654575,13.10305,13.396875,11.1640625,232.9246691,450.960125,0
1163,1878.1145,93.905725,70.54235625,108.5267019,34.63216687,173.1608344,37.1604125,74.320825,131.2,43.73333333,288.62075,96.20691667,23.2643125,93.05725,0.01872,21.50254625,9.25956,162.2742937,265.3564375,319.1813125,13.29922135,473.2813125,47.32813125,34.100225,189.4456944,5.9040275,53.67297727,0.95025,1.055833333,1.071475375,89.28961458,3.00339375,18.77121094,0.74611875,57.39375,319.7533125,76.13174107,1345.96125,28.6374734,848.091625,121.1559464,1403.248875,155.9165417,0.2081715,16.01319231,445.3609375,111.3402344,0.005125,0.213541667,0,0,3.12509375,20.83395833,15.0025,12.50208333,20.68937562,445.3609375,0
1165,1022.57475,51.1287375,77.59142875,119.3714288,55.53631075,277.6815538,14.5461175,29.092235,16.4,5.466666667,80.9358,26.9786,7.1202,28.4808,5.20E-05,12.56912575,4.246242625,20.5722,73.8156,189.5938409,7.89974337,71.57591177,7.157591177,10.55140469,58.61891493,3.772155539,34.29232308,13.3605,14.845,0.286763063,23.89692188,3.703599188,23.14749492,0.806281063,62.02162019,246.6362727,58.72292207,1255.264729,26.7077602,487.8021875,69.68602679,81.2159625,9.023995834,0.121886313,9.375870192,69.32,17.33,0.000640625,0.026692708,0,0,1.587515,10.58343333,11.7029375,9.752447917,327.0252475,69.32,0
1168,4350.417125,217.5208562,305.711176,470.3248862,125.139151,625.6957548,369.8011685,739.6023371,1143.28,381.0933333,3.512030625,1.170676875,1.202983333,4.811933333,16.78180062,145.0411122,14.9742844,0.617972917,2.309047292,4450.033683,185.4180701,409.9684316,40.99684316,30.8523989,171.4022161,61.23830447,556.7118588,4.295352083,4.772613426,0.907170562,75.59754687,95.42252062,596.3907539,10.56675062,812.8269712,197.3102801,46.97863813,4324.431658,92.00918421,3237.968667,462.5669524,303.1731833,33.68590926,3.627677937,279.052149,96.67679167,24.16919792,30.6104,1275.433333,1.844,12.29333333,7.527930625,50.18620417,39.65013542,33.04177951,1217.574227,96.67679167,0
1169,783.7420163,39.18710081,55.88158397,85.97166765,45.56322573,227.8161287,8.140013014,16.28002603,0,0,78.53926525,26.17975508,13.43704306,53.74817222,0.001340625,5.308870292,2.008217933,48.77365792,65.1022222,41.03876348,1.709948478,114.5454514,11.45454514,9.026721916,50.14845509,2.031548487,18.46862261,22.12423758,24.58248619,0.116388079,9.69900662,2.465158091,15.40723807,0.189878383,14.60602944,161.4392785,38.43792345,1187.851364,25.27343327,318.2721156,45.46744508,3.977513889,0.441945988,0.199826611,15.37127778,63.54633717,15.88658429,0,0,0,0,2.765626667,18.43751111,16.81271111,14.01059259,487.8729197,63.54633717,0
1173,1137.17509,56.85875451,35.80758917,55.08859872,14.86085603,74.30428017,43.12253333,86.24506667,0,0,183.228675,61.076225,53.03741667,212.1496667,0.00021,10.51701823,7.923839893,37.90886667,130.1912583,2665.848198,111.0770083,585.518352,58.5518352,20.65869182,114.7705101,7.645562925,69.5051175,91.37738333,101.5304259,1.151304,95.942,9.305660833,58.16038021,2.309120833,177.6246795,442.6462126,105.3919554,5111.452867,108.7543163,827.687,118.241,1026.98775,114.10975,0.660605917,50.81583974,595.5516667,148.8879167,0,0,0,0,12.16622277,81.10815182,49.85269416,41.5439118,868.8254709,595.5516667,1.1268
1174,547.8206667,27.39103333,29.6324,45.58830769,3.498436667,17.49218333,16.35478333,32.70956667,0,0,77.9501,25.98336667,30.6235,122.494,0,20.543,3.792255,37.212,47.3266,2775.731686,115.6554869,408.8261699,40.88261699,10.94341879,60.79677108,3.970268625,36.09335113,473.8425,526.4916667,0.58362,48.635,7.988711667,49.92944792,1.167176667,89.78282051,274.6696529,65.39753641,3310.39539,70.43394447,462.6733333,66.09619048,2538.666,282.074,0.426783,32.82946154,180.6833333,45.17083333,0,0,0,0,9.17635,61.17566667,109.2315,91.02625,1061.217604,180.6833333,0
1177,528.371232,26.4185616,29.31265632,45.09639434,4.11897248,20.5948624,11.3676128,22.7352256,0,0,65.254848,21.751616,15.3003696,61.2014784,0,20.06536645,3.759071536,40.13174848,49.9544784,2739.236843,114.1348685,171.6299955,17.16299955,3.750203238,20.83446243,2.117575328,19.2506848,150.354,167.06,0.455985056,37.99875467,6.22720448,38.920028,1.112152512,85.55019323,132.8737645,31.63661059,2654.3693,56.47594255,301.296656,43.04237943,2536.785571,281.8650635,0.24640776,18.95444308,176.068944,44.017236,0,0,0,0,9.37524128,62.50160853,110.036048,91.69670667,1065.704898,176.068944,0
1180,910.764375,45.53821875,10.19118125,15.67874038,0.36726675,1.83633375,36.1920325,72.384065,0,0,178.9549625,59.65165417,16.5684625,66.27385,0.000510625,0.1837545,0.579389125,16.500505,162.3865,1572.169822,65.50707594,232.6888047,23.26888047,9.936328877,55.20182709,6.850030645,62.27300586,20.9749875,23.30554167,1.50755425,125.6295208,74.15444575,463.4652859,0.76506925,58.85148077,231.9206064,55.21919201,1866.181852,39.70599684,890.87475,127.2678214,50.4349,5.603877778,1.393504125,107.192625,76.825125,19.20628125,0.1,4.166666667,0.5,3.333333333,0.74318,4.954533333,25.3488875,21.12407292,424.0665088,76.825125,8.4
1181,1116.108437,55.80542187,32.56992,50.10756923,2.741155,13.705775,56.7723,113.5446,0,0,160.3324833,53.44416111,31.31971667,125.2788667,0.11273,18.566505,9.846885,17.88134667,129.0127667,1331.710346,55.48793107,260.7475047,26.07475047,18.75147491,104.1748606,8.022723457,72.93384961,178.7594,198.6215556,2.108514,175.7095,8.76715,54.7946875,1.95247,150.19,229.8597346,54.72850823,2475.917877,52.67910376,750.7572083,107.2510298,632.1025,70.23361111,0.649002,49.92323077,1073.95,268.4875,0,0,0,0,8.67855,57.857,87.7715,73.14291667,309.6273269,1073.95,5.634
